time,vertical_speed,horizontal_speed,dist,distance_from_moon,angle,weight,acceleration,dvs,fuel,PID,NN
299,23.999368158338555,479.49298899477486,-34773.03538980954,6570.592790898712,58.3,286,2.21613371429115,24,71.95163061305648,0.0006352613976321677,0.8341535110132787
300,23.99935999405217,477.60747781068676,-35250.64286762023,6546.59343090466,58.3,286,2.2195573536415267,24,71.76644853361154,0.0006347376334151818,0.8347882486466939
301,23.99935180383813,475.7190537562047,-35726.36192137643,6522.594079100822,58.3,286,2.222986281943003,24,71.58112554241197,0.0006342103804741063,0.8354224590271679
302,23.99934358772362,473.8277123314303,-36200.189633707865,6498.5947355130975,58.3,286,2.2264205073662966,24,71.39566175650793,0.0006336796321161247,0.8360561386592841
303,23.999335345735766,471.9334490295135,-36672.12308273738,6474.595400167362,58.3,286,2.2298600380947455,24,71.21005729372557,0.00063314538165457,0.8366892840409387
304,23.999327077901654,470.03625933664176,-37142.159342074025,6450.59607308946,58.3,286,2.2333048823243242,24,71.02431227266848,0.0006326076224089103,0.8373218916633476
305,23.999318784248327,468.1361387320293,-37610.29548080605,6426.596754305212,58.3,286,2.236755048263658,24,70.83842681271922,0.0006320663477072954,0.8379539580110549
306,23.999310464802786,466.23308268790623,-38076.52856349396,6402.597443840409,58.3,286,2.240210544134053,24,70.65240103404076,0.0006315215508835596,0.8385854795619384
307,23.999302119591995,464.3270866695081,-38540.85565016347,6378.598141720817,58.3,286,2.2436713781695072,24,70.46623505757802,0.0006309732252796262,0.839216452787218
308,23.999293748642884,462.4181461350647,-39003.273796298534,6354.598847972174,58.3,286,2.2471375586167337,24,70.27992900505926,0.0006304213642440767,0.8398468741514621
309,23.999285351982355,460.50625653578953,-39463.78005283432,6330.599562620191,58.3,286,2.2506090937351804,24,70.09348299899763,0.0006298659611338472,0.840476740112596
310,23.999276929637276,458.59141331586886,-39922.37146615019,6306.600285690554,58.3,286,2.2540859917970493,24,69.90689716269263,0.0006293070093119446,0.841106047121908
311,23.99926848163449,456.6736119124508,-40379.04507806264,6282.60101720892,58.3,286,2.257568261087314,24,69.72017162023157,0.000628744502149856,0.8417347916240578
